text,created_at,updated_at
"A cat has the ability to rotate their ears 180 degrees,with the help of 32 muscles that they use to control them.",2020-05-25 20:02:08 UTC,2020-05-25 20:02:08 UTC
Normal body temperature for a cat is 102 degrees F.,2020-06-16 03:58:39 UTC,2020-06-16 03:58:39 UTC
All cats need taurine in their diet to avoid blindness. Cats must also have fat in their diet as they are unable to produce it on their own.,2020-01-27 19:20:29 UTC,2020-01-27 19:20:29 UTC
Ancient Egyptian family members shaved their eyebrows in mourning when the family cat died.,2020-11-08 11:31:02 UTC,2020-11-08 11:31:02 UTC
"The strongest climber among the big cats, a leopard can carry prey twice its weight up a tree.",2020-04-01 21:37:13 UTC,2020-04-01 21:37:13 UTC
A cat will tremble or shiver when it is in extreme pain.,2020-11-23 23:58:34 UTC,2020-11-23 23:58:34 UTC
Cats have 32 muscles that control the outer ear (humans have only 6). A cat can independently rotate its ears 180 degrees.,2020-05-17 16:37:54 UTC,2020-05-17 16:37:54 UTC
"In Holland’s embassy in Moscow, Russia, the staff noticed that the two Siamese cats kept meowing and clawing at the walls of the building. Their owners finally investigated, thinking they would find mice. Instead, they discovered microphones hidden by Russian spies. The cats heard the microphones when they turned on.",2020-08-17 13:19:27 UTC,2020-08-17 13:19:27 UTC
"Of all the species of cats, the domestic cat is the only species able to hold its tail vertically while walking. All species of wild cats hold their tail horizontally or tucked between their legs while walking.",2020-10-12 14:20:13 UTC,2020-10-12 14:20:13 UTC
Cats' hearing stops at 65 khz (kilohertz); humans' hearing stops at 20 khz.,2020-10-18 07:52:34 UTC,2020-10-18 07:52:34 UTC
"Cats' eyes shine in the dark because of the tapetum, a reflective layer in the eye, which acts like a mirror.",2020-06-28 03:22:34 UTC,2020-06-28 03:22:34 UTC
A cat’s back is extremely flexible because it has up to 53 loosely fitting vertebrae. Humans only have 34.,2020-04-25 13:34:35 UTC,2020-04-25 13:34:35 UTC
The average lifespan of an outdoor-only (feral and non-feral) is about 3 years; an indoor-only cat can live 16 years and longer. Some cats have been documented to have a longevity of 34 years.,2020-06-03 20:39:28 UTC,2020-06-03 20:39:28 UTC
Today there are about 100 distinct breeds of the domestic cat.,2020-11-26 12:52:19 UTC,2020-11-26 12:52:19 UTC
"Contrary to popular belief, the cat is a social animal. A pet cat will respond and answer to speech , and seems to enjoy human companionship.",2020-05-04 15:42:24 UTC,2020-05-04 15:42:24 UTC
Cats have supersonic hearing,2020-04-23 13:31:15 UTC,2020-04-23 13:31:15 UTC
Cats are extremely sensitive to vibrations. Cats are said to detect earthquake tremors 10 or 15 minutes before humans can.,2020-07-11 19:19:56 UTC,2020-07-11 19:19:56 UTC
"If they have ample water, cats can tolerate temperatures up to 133 °F.",2020-10-01 02:42:59 UTC,2020-10-01 02:42:59 UTC
"The tiniest cat on record is Mr. Pebbles, a 2-year-old cat that weighed 3 lbs (1.3 k) and was 6.1 inches (15.5 cm) high.",2020-06-07 14:53:12 UTC,2020-06-07 14:53:12 UTC
Cats can predict earthquakes. We humans are not 100% sure how they do it. There are several different theories.,2020-04-30 16:32:29 UTC,2020-04-30 16:32:29 UTC
"A cat named Dusty, aged 1 7, living in Bonham, Texas, USA, gave birth to her 420th kitten on June 23, 1952.",2020-06-04 22:32:56 UTC,2020-06-04 22:32:56 UTC
"While many parts of Europe and North America consider the black cat a sign of bad luck, in Britain and Australia, black cats are considered lucky.",2020-07-25 11:55:08 UTC,2020-07-25 11:55:08 UTC
"Cats don’t have sweat glands over their bodies like humans do. Instead, they sweat only through their paws.",2020-12-30 20:15:56 UTC,2020-12-30 20:15:56 UTC
Cats eat grass to aid their digestion and to help them get rid of any fur in their stomachs.,2020-12-09 03:52:47 UTC,2020-12-09 03:52:47 UTC
"Neutering a male cat will, in almost all cases, stop him from spraying (territorial marking), fighting with other males (at least over females), as well as lengthen his life and improve its quality.",2020-06-16 12:22:40 UTC,2020-06-16 12:22:40 UTC
